Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
282,LbKrasnikSpoldziel,PL0354A,Kraśnik Ul. Spółdzielcza,,1994-01-25,2008-12-31,tło,miejski,w budynku,LUBELSKIE,Kraśnik,ul. Spółdzielcza 3,50.927486,22.228567
283,LbKrasnobrod,PL0761A,"Krasnobród, ul. Sanatoryjna",LbKrasnobrodMOB ,2020-01-16,,tło,podmiejski,wolnostojący pobornik pyłu,LUBELSKIE,Krasnobród,ul. Sanatoryjna,50.549297,23.197317
284,LbKrasnobrodWSSELel,,Krasnobród ul. Lelewela 2,,2002-01-23,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Krasnobród,ul. Lelewela 2,50.543850,23.215858
285,LbLeczna1000Lecia,PL0269A,Łęczna ul. 1000-Lecia,,2006-09-01,2010-12-31,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Łęczna,ul. 1000-Lecia 12,51.304450,22.883331
286,LbLublin_Chmielna,,Lublin ul. Chmielna,,1994-01-03,2002-12-31,tło,miejski,w budynku,LUBELSKIE,Lublin,ul. Chmielna 10,51.251289,22.555800
287,LbLublin_Krasn,PL0253A,Lublin Al. Kraśnicka,,2006-01-01,2010-05-10,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Lublin,al. Kraśnicka 2 CD,51.247225,22.523883
288,LbLublinMaszynowa,PL0356A,Lublin ul. Maszynowa,,1986-03-10,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Lublin,ul. Maszynowa 2,51.244431,22.595297
289,LbLublinNadrzecz,,Lublin Ul. Nadrzeczna,,1991-01-02,2002-12-31,tło,miejski,w budynku,LUBELSKIE,Lublin,ul. Nadrzeczna 16,51.222225,22.581822
290,LbLublinObywat_13,PL0086A,Lublin ul. Obywatelska 13,,2000-10-04,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Lublin,ul. Obywatelska 13,51.259269,22.568522
291,LbLublinOgrod,,Lublin Ogród Botaniczny,,2003-09-05,2006-12-31,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Lublin,ul. Sławinkowska 3,51.263964,22.514581
292,LbLublinPiel,PL0087A,Lublin Ul. Pielęgniarek,,2001-05-22,2009-12-31,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Lublin,ul. Pielęgniarek 6,51.239444,22.507500
293,LbLublinSpokojna,PL0206A,Lublin Ul. Spokojna (Śródmieście),,2003-01-01,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Lublin,ul. Spokojna 9,51.250731,22.554769
294,LbLubObywate,PL0507A,"Lublin, ul. Obywatelska",LbLublinWIOS,2010-05-21,,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Lublin,ul. Obywatelska 13,51.259431,22.569133
295,LbLubSliwins,PL0085A,"Lublin, ul. Śliwińskiego",LbLublin_Sliwins_5,2001-07-01,,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Lublin,ul. Śliwińskiego 5,51.273078,22.551675
296,LbLukBulNiepMOB,PL0817A,"Łuków, Bulwar 100-lecia Odzyskania Niepodległości",,2023-01-09,,tło,miejski,mobilna,LUBELSKIE,Łuków,ul. Bulwar 100-lecia Odzyskania Niepodległości,51.930734,22.372502
297,LbLukowBrowarna,PL0357A,WIOŚ-Łuków-Browarna,,2007-01-03,2010-12-31,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Łuków,ul. Browarna 63,51.928564,22.377758
298,LbLukowSpoldzielcza,PL0088A,PSSE-Łuków-Spółdzielcza,,1999-02-01,2008-12-31,tło,miejski,w budynku,LUBELSKIE,Łuków,ul. Społdzielcza 4,51.929722,22.380569
299,LbMiedzPModrzewiowa,,PSSE-MiędzyrzecP-Modrzewiowa,,1997-01-15,2003-12-31,tło,podmiejski,w budynku,LUBELSKIE,Międzyrzec Podlaski,ul. Modrzewiowa 27,51.996064,22.802539
300,LBMiedzPStaromiejska,PL0358A,PSSE-MiędzyrzecP-Staromiejska,,2004-01-05,2008-12-31,tło,miejski,w budynku,LUBELSKIE,Międzyrzec Podlaski,ul. Staromiejska 20,51.985278,22.787097
301,LbNaleczAlMa,PL0710A,"Nałęczów, al. Małachowskiego","LbNaleczowMOB, LbNaleczow",2019-01-22,,tło,podmiejski,wolnostojący pobornik pyłu,LUBELSKIE,Nałęczów,al. Małachowskiego,51.284931,22.210242
302,LbNaleczowKasztan,PL0359A,Nałęczów Ul. Kasztanowa,,1993-01-04,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Nałęczów,ul. Kasztanowa 1,51.287361,22.208233
303,LbPulaKarpin,PL0657A,"Puławy, ul. Karpińskiego",LbPulawyKarp,2015-06-01,2021-12-31,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Puławy,ul. Karpińskiego 5,51.419047,21.961089
304,LbPulaSkowie,PL0089A,Puławy ul. Skowieszyńska,LbPulawySkowieszynska,2003-07-22,2015-12-31,tło,podmiejski,wolnostojący pobornik pyłu,LUBELSKIE,Puławy,ul. Skowieszyńska 51,51.410614,21.976375
305,LbPulawyLubelska,PL0360A,Puławy Ul. Lubelska,,1993-01-04,2015-01-01,tło,miejski,w budynku,LUBELSKIE,Puławy,ul. Lubelska 5,51.417258,21.972761
306,LbRadzPodSit,PL0270A,"Radzyń Podlaski, ul. Sitkowskiego",LbRadzyPSitkowskiego,2006-11-08,,tło,podmiejski,wolnostojący pobornik pyłu,LUBELSKIE,Radzyń Podlaski,ul. Sitkowskiego 1b,51.78,22.625944
307,LbRadzyPPocztowa,PL0090A,PSSE-RadzyńP-Pocztowa,,1984-01-01,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Radzyń Podlaski,ul. Pocztowa 5,51.784558,22.619614
308,LbRejowiecFabrWIOS,PL0361A,Rejowiec Fabryczny,,2006-09-01,2010-12-31,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Rejowiec Fabryczny,ul. Chełmska 51A,51.110278,23.246944
309,LbSwidnikWPolskiego,PL0362A,Świdnik ul. Wojska Polskiego,,2004-01-12,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Świdnik,ul. Wojska Polskiego 27,51.221919,22.687217
310,LbSwidnikWyszyns,,Świdnik Ul. Wyszyńskiego,,1993-03-24,2003-12-31,tło,miejski,w budynku,LUBELSKIE,Świdnik,ul. Wyszyńskiego 15,51.217625,22.698714
311,LbSzczebPartyzantow,PL0363A,Szczebrzeszyn,,2003-02-10,2008-12-31,tło,miejski,w budynku,LUBELSKIE,Szczebrzeszyn,ul. Partyzantów 35,50.698056,22.971944
312,LbTomaszowLubWIOS,PL0271A,Tomaszów Lubelski ul. Lwowska 68,,2006-09-01,2010-12-31,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Tomaszów Lubelski,ul. Lwowska 68,50.447500,23.414444
313,LbTomaszowLubWSSE,PL0364A,Tomaszów Lubelski ul. Lwowska 51,,1995-01-02,2008-12-31,tło,miejski,w budynku,LUBELSKIE,Tomaszów Lubelski,ul. Lwowska 51,50.447778,23.416944
314,LbWilczopole,PL0488A,Wilczopole,,2006-09-01,,tło,pozamiejski,w budynku,LUBELSKIE,Wilczopole,,51.163542,22.598608
315,LbWlodawWSSE,PL0365A,Włodawa ul. Pilsudskiego,,1985-01-02,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Włodawa,ul. Piłsudskiego 66,51.552308,23.554408
316,LbZamoHrubie,PL0091A,"Zamość, ul. Hrubieszowska",LbZamoscHrubieszowsk,1992-01-01,,tło,miejski,kontenerowa stacjonarna,LUBELSKIE,Zamość,ul. Hrubieszowska 69A,50.716628,23.290247
317,LbZamoscWSSE,PL0092A,Zamość ul. Peowiaków 96,,1985-06-12,2009-12-31,tło,miejski,w budynku,LUBELSKIE,Zamość,ul. Peowiaków 96,50.716111,23.260833
318,LdAlekslWSSEMSklodow,,Aleksandrów Ł.-Skłodowskiej Curie1,,1976-04-05,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Aleksandrów Łódzki,ul. Skłodowskiej Curie 1,-999,-999
319,LdBelchaWSSEMOkrzei,PL0093A,Bełchatów-Okrzei49,,1988-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Bełchatów,ul. Okrzei S. 49,51.360278,19.367778
320,LdBelchEdwar,PL0665A,"Bełchatów, ul. Edwardów",LdBelchatEdward,2017-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Bełchatów,ul. Edwardów 5,51.356689,19.365903
321,LdBrzeReform,PL0366A,"Brzeziny, ul. Reformacka",LdBrzeziWIOSMReforma,2010-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Brzeziny,ul. Reformacka 1,51.797806,19.756094
322,LdBrzeziWSSEMReforma,,Brzeziny-Reformacka,,1990-10-16,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Brzeziny,ul. Reformacka 3,-999,-999
323,LdGajewUjWod,PL0094A,"Gajew, Ujęcie Wody",LdGajewWIOSAGajew,2003-11-01,,tło,pozamiejski,kontenerowa stacjonarna,ŁÓDZKIE,Gajew,Ujęcie wody,52.143258,19.233217
324,LdKutn1Maja7MOB,PL0763A,"Kutno, ul. 1 Maja",,2019-09-19,,tło,miejski,mobilna,ŁÓDZKIE,Kutno,ul. 1 Maja 7,52.231908,19.353689
325,LdKutnKosciu,PL0607A,"Kutno, ul. Kościuszki",LdKutnoWIOSMKoscius,2014-01-01,2022-12-31,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Kutno,ul. Kościuszki 26,52.234389,19.368508
326,LdKutnoWIOSMWilcza,PL0095A,Kutno Wilcza,,1993-03-01,2015-12-31,tło,miejski,w budynku,ŁÓDZKIE,Kutno,ul. Wilcza 5a,52.228489,19.372206
327,LdKutnoWSSEMGrunwal,PL0367A,Kutno-Grunwaldzka2,,1976-07-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Kutno,ul. Grunwaldzka 2,52.229167,19.372222
328,LdLaskNarutoMOB,PL0764A,"Łask, ul. Narutowicza",,2020-10-26,,tło,miejski,mobilna,ŁÓDZKIE,Łask,ul. Narutowicza 28,51.589208,19.131433
329,LdLaskWSSEMWarszaw,PL0255A,Łask-Warszawska,,1990-02-05,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łask,ul. Warszawska,51.590000,19.147222
330,LdLodzCzerni,PL0096A,"Łódź, ul. Czernika",LdLodzWIOSACzernik,2003-11-01,,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Łódź,ul. Czernika 1/3,51.758050,19.529786
331,LdLodzGdansk,PL0543A,"Łódź, ul. Gdańska",LdLodzWIOSAGdanska,2012-01-01,,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Łódź,ul. Gdańska 16,51.775378,19.450992
332,LdLodzJanPaw,PL0635A,"Łódź, al. Jana Pawła II",,2015-10-27,,komunikacyjna,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Łódź,al. Jana Pawła II 15,51.754613,19.434925
333,LdLodzKilins,PL0589A,Łódź-Kilińskiego 102/102a,LdLodzWIOSAKilinsk,2014-01-01,2017-12-31,komunikacyjna,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Łódź,ul. Kilińskiego 102/102a,51.763801,19.467132
334,LdLodzLegion,PL0100A,"Łódź, ul. Legionów",LdLodzWSSEMLegiono,2004-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Łódź,ul. Legionów 1,51.776417,19.452936
335,LdLodzRudzka,PL0101A,"Łódź, ul. Rudzka",LdLodzWSSEMRudzka,1975-01-01,2024-04-28,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Łódź,ul. Rudzka 60,51.705581,19.434842
336,LdLodzWIOSARubinst,PL0097A,Łódź-Śródmieście,,2003-11-01,2014-12-31,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Rubinsteina 77,51.767292,19.455339
337,LdLodzWSSEMAstrona,PL0368A,Łódź-Astronautów,,1968-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Astronautów 17,51.726111,19.461944
338,LdLodzWSSEMDeczyns,PL0099A,Łódź-Deczyńskiego,,1973-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Deczyńskiego 24,51.803889,19.471111
339,LdLodzWSSEMPrzybys,PL0036A,Łódź-Przybyszewskiego10,,1965-03-05,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Przybyszewskiego 10,51.744167,19.467228
340,LdLodzWSSEMRokicin,,Łódź-Rokicińska144,,1971-01-02,2003-12-31,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Rokicińska 144,51.758056,19.560278
341,LdLodzWSSEMWici3,PL0037A,Łódź-Wici3,,1994-01-07,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Wici 3,51.798611,19.384722
342,LdLodzWSSEMWilensk,PL0369A,Łódź-Wileńska25,,1994-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Wileńska 25,51.752778,19.428333
343,LdLodzWSSEMWodna40,PL0002A,Łódź-WSSE Wodna40,,1998-12-25,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Wodna 40,51.761667,19.476944
344,LdLodzWSSEMZachodn,PL0102A,Łódź-Zachodnia81,,1967-01-05,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łódź,ul. Zachodnia 81,51.774722,19.455003
345,LdLodzZachod,PL0098A,Łódź-Zachodnia 40,LdLodzWIOSAZachodn,2003-09-02,2016-05-20,komunikacyjna,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Łódź,ul. Zachodnia 40,51.777603,19.452408
346,LdLowiczSien,PL0609A,"Łowicz, ul. Sienkiewicza",LdLowSienkie,2015-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Łowicz,ul. Henryka Sienkiewicza 62,52.105847,19.939433
347,LdLowiczWSSEMSwFlori,PL0370A,Łowicz-Św.Floriana3,,1994-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Łowicz,ul. Św. Floriana 3,52.108056,19.936944
348,LdOpocPlKosc,PL0508A,Opoczno-Pl Kościuszki 15,LdOpocznWIOSMPlKosci,2010-01-01,2017-01-01,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Opoczno,pl. Kościuszki 15,51.375842,20.289236
349,LdOpocSkCuri,PL0666A,"Opoczno, ul. Skłodowskiej-Curie",LdOpocCurieSk,2017-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Opoczno,ul. Skłodowskiej-Curie 5,51.379128,20.282169
350,LdOpocznWSSEMPlKosci,PL0103A,Opoczno-Pl Kościuszki,,1986-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Opoczno,pl. Kościuszki,51.375000,20.275008
351,LdOzorkoWSSEMWigury1,PL0371A,Ozorków-Wigury 1,,1986-02-04,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Ozorków,ul. Wigury 1,51.967222,19.290283
352,LdPabianWSSEMNowa,PL0372A,Pabianice-Nowa1,,1992-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Pabianice,ul. Nowa 1,51.659167,19.320833
353,LdPabiKilins,PL0537A,"Pabianice, ul. Kilińskiego",LdPabianWIOSMKilinsk,2009-12-08,,tło,miejski,w budynku,ŁÓDZKIE,Pabianice,ul. Kilińskiego 4,51.663331,19.356064
354,LdPabiKonsta,PL0104A,"Pabianice, ul. Konstantynowska",LdPabianWIOSAKonstan,2003-11-01,,przemysłowa,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Pabianice,ul. Konstantynowska,51.667981,19.368683
355,LdPajeczWSSEMZeromsk,PL0373A,Pajęczno-Żeromskiego 7,,2001-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Pajęczno,ul. Żeromskiego,51.150556,18.987781
356,LdParzniUjWo,PL0105A,"Parzniewice, Ujęcie Wody",LdParzniWIOSAParznie,2003-10-17,,tło,pozamiejski,kontenerowa stacjonarna,ŁÓDZKIE,Parzniewice,Ujęcie wody,51.291175,19.517556
357,LdPiotrkMZGKMkarolin,,Piotrków Tryb. - Karolinowska 51,,1983-06-01,2008-01-01,przemysłowa,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Piotrków Trybunalski,ul. Karolinowska 51,51.425000,19.682222
358,LdPioTrKraPr,PL0509A,"Piotrków Trybunalski, ul. Krakowskie Przedmieście",LdPiotrkWIOSAKrakPrz,2009-12-15,,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Piotrków Trybunalski,ul. Krakowskie Przedmieście 13,51.404406,19.696956
359,LdPiotrkWIOSABelzack,PL0106A,Piotrków Belzacka,,1999-03-09,2009-01-13,tło,miejski,w budynku,ŁÓDZKIE,Piotrków Trybunalski,ul. Belzacka 78a,51.406944,19.673056
360,LdPiotrkWSSEM3goMaja,PL0107A,PiotrkówTryb.-3-goMaja8,,1987-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Piotrków Trybunalski,ul. 3 Maja 8,51.405000,19.693333
361,LdPioTrSienk,PL0510A,PiotrkówTryb.-Sienkiewicza 16,LdPiotrkWIOSMSienkie,2010-01-01,2015-01-01,tło,miejski,w budynku,ŁÓDZKIE,Piotrków Trybunalski,ul. Sienkiewicza 16,51.407844,19.688694
362,LdRadomsFAMEGMGlinia,,Radomsko-Gliniana26,,1990-01-01,2006-04-01,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Radomsko,ul. Gliniana 26,51.068056,19.426667
363,LdRadomsFAMEGMGolebi,,Radomsko-Gołębia,,1990-08-01,2005-11-01,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Radomsko,ul. Gołębia 8,-999,-999
364,LdRadomsMETALMPrzedb,,Radomsko-Przedborska,,1990-01-01,2006-04-01,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Radomsko,ul. Przedborska,51.074722,19.461111
365,LdRadomsRoln,PL0544A,"Radomsko, ul. Rolna",LdRadomsWIOSMRolna2,2010-01-01,,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Radomsko,ul. Rolna 2,51.067417,19.448714
366,LdRadomsSoko,PL0256A,Radomsko-Sokola4,LdRadomsWIOSASokola4,2005-04-19,2016-05-20,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Radomsko,ul. Sokola 4,51.063992,19.451164
367,LdRadomsWSSEMKomunyP,PL0108A,Radomsko-KomunyParyskiej5,,1995-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Radomsko,ul. Komuny Paryskiej 5,51.069444,19.441111
368,LdRadomsWSSEMZeromsk,PL0109A,Radomsko-Żeromskiego 15,,2004-01-01,2011-05-01,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Radomsko,ul. Żeromskiego 15,51.066111,19.441944
369,LdRawaMaWIOSMKoscius,PL0511A,Rawa Mazowiecka-Kościuszki 5,,2008-02-01,2011-12-31,tło,miejski,w budynku,ŁÓDZKIE,Rawa Mazowiecka,ul. Kościuszki 5,51.763358,20.249978
370,LdRawaNiepod,PL0545A,"Rawa Mazowiecka, ul. Niepodległości",LdRawaMaWIOSMNiepodl,2010-01-01,2023-12-31,tło,miejski,w budynku,ŁÓDZKIE,Rawa Mazowiecka,ul. Niepodległości 8,51.760889,20.250839
371,LdSieradWIOSMKoscius,PL0374A,Sieradz-Kościuszki6,,2006-01-01,2011-12-31,komunikacyjna,miejski,w budynku,ŁÓDZKIE,Sieradz,ul. Kościuszki 6,51.594444,18.736111
372,LdSieradWSSEMArmiiKr,,Sieradz-ArmiiKrajowej7,,2003-01-01,2004-03-31,tło,miejski,w budynku,ŁÓDZKIE,Sieradz,ul. Armii Krajowej 7,51.583889,18.710556
373,LdSieradWSSEMPOW52,PL0375A,Sieradz-POW52,,2004-06-01,2010-01-01,komunikacyjna,miejski,w budynku,ŁÓDZKIE,Sieradz,ul. POW 52,51.595833,18.720278
374,LdSieraPolna,PL0636A,"Sieradz, ul. Polna",,2016-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Sieradz,ul. Polna 18/20,51.592058,18.734811
375,LdSierGrunwa,PL0110A,Sieradz-Grunwaldzka 28,LdSieradWSSEMGrunwal,2004-01-01,2015-12-31,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Sieradz,ul. Grunwaldzka 28,51.590125,18.717333
376,LdSkierKonop,PL0611A,"Skierniewice, ul. Konopnickiej",LdSkiernWIOSMKonopni,2014-07-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Skierniewice,ul. Marii Konopnickiej 5,51.954297,20.149461
377,LdSkiernWIOSMJagiell,PL0546A,Skierniewice-Jagiellońska 28,,2010-01-01,2014-06-30,tło,miejski,w budynku,ŁÓDZKIE,Skierniewice,ul. Jagiellońska 28,51.959561,20.146183
378,LdSkiernWIOSMWitaStw,PL0512A,Skierniewice-Wita Stwosza2/4,,2008-03-07,2011-12-31,tło,miejski,w budynku,ŁÓDZKIE,Skierniewice,ul. Wita Stwosza 2/4,51.960719,20.147408
379,LdSkiernWSSEMKoperni,PL0111A,Skierniewice-Kopernika5,,1994-01-02,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Skierniewice,ul. Kopernika 5,51.952778,20.152222
380,LdSkiernWSSEMReymont,PL0112A,Skierniewice-Reymonta 33,,2004-01-01,2011-05-01,tło,miejski,w budynku,ŁÓDZKIE,Skierniewice,ul. Reymonta 33,51.960000,20.147222
381,LdSkiernWSSEMWankowi,,Skierniewice-Wańkowicza10,,1991-01-16,2003-12-31,tło,miejski,w budynku,ŁÓDZKIE,Skierniewice,ul. Wańkowicza 10,51.973611,20.148889
382,LdToMaSwAnto,PL0547A,Tomaszów Mazowiecki ul. Św. Antoniego,LdTomaszWIOSMSwAnton,2010-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Tomaszów Mazowiecki,ul. Św. Antoniego 43/45,51.526225,20.016858
383,LdTomaszWSSEMSw.Anto,PL0113A,TomaszówMaz.-Św.Antoniego24,,1988-01-01,2014-08-13,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Tomaszów Mazowiecki,ul. Św. Antoniego 24,51.528889,20.010833
384,LdUniejZamko,PL0667A,"Uniejów, ul. Zamkowa",LdUniejTermy,2017-01-01,,tło,podmiejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Uniejów,ul. Zamkowa 1,51.971711,18.790289
385,LdWielunPOW1,PL0590A,"Wieluń, ul. POW","LdWielunWIOSMPOW, LdWieluPOW12",2012-01-01,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Wieluń,ul. POW 12,51.217828,18.581828
386,LdWielunWSSEMPOW14,PL0208A,Wieluń-POW14,,2005-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Wieluń,ul. POW 14,51.218611,18.581389
387,LdWielunWSSEMWojskaP,,Wieluń-WojskaPolskiego,,2003-01-01,2007-01-01,tło,miejski,w budynku,ŁÓDZKIE,Wieluń,ul. Wojska Polskiego,-999,-999
388,LdZduWoKrole,PL0548A,"Zduńska Wola, ul. Królewska",LdZdWolaWIOSMKrolews,2011-08-16,,tło,miejski,wolnostojący pobornik pyłu,ŁÓDZKIE,Zduńska Wola,ul. Królewska 10,51.601378,18.940117
389,LdZdWolaWSSEMDabrows,PL0114A,ZduńskaWola-Dąbrowskiego1,,2003-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Zduńska Wola,ul. Dąbrowskiego 1,51.601111,18.936944
390,LdZdWolaWSSEMPlWolno,,Zduńska Wola-Plac Wolności 20,,2001-01-01,2003-07-31,tło,miejski,w budynku,ŁÓDZKIE,Zduńska Wola,pl. Wolności 20,51.603056,18.934444
391,LdZdWolaWSSEMSzadkow,,ZduńskaWola-Szadkowska4,,2003-01-01,2006-01-01,tło,miejski,w budynku,ŁÓDZKIE,Zduńska Wola,ul. Szadkowska 4,51.606667,18.939722
392,LdZgieMielcz,PL0115A,"Zgierz, ul. Mielczarskiego",LdZgierzWIOSAMielcza,2003-09-01,,tło,miejski,kontenerowa stacjonarna,ŁÓDZKIE,Zgierz,ul. Mielczarskiego 1,51.856692,19.421231
393,LdZgierzWSSEMDabrows,,Zgierz-Dąbrowskiego 12,,1976-01-01,2000-05-31,tło,miejski,w budynku,ŁÓDZKIE,Zgierz,ul. Dąbrowskiego 12,51.856944,19.411944
394,LdZgierzWSSEMStRynek,PL0116A,Zgierz-Pl Jana Pawła II,,2000-01-01,2010-01-01,tło,miejski,w budynku,ŁÓDZKIE,Zgierz,pl. Jana Pawła II,51.856389,19.404444
395,LdZloczeWSSEMWieluns,,Złoczew-Wieluńksa(szkoła),,2003-01-01,2003-12-31,tło,miejski,w budynku,ŁÓDZKIE,Złoczew,ul. Wieluńska,51.406944,18.610833
396,LuDrezdeWSSE,PL0376A,WSSE - Drezdenko,,2002-05-01,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Drezdenko,ul. Chrobrego 11,52.839167,15.835578
397,LuGorzKosGdy,PL0209A,Gorzów Wlkp. ul. Kosynierów Gdyńskich,LuGorzowWIOS_AUT,2005-01-01,,tło,miejski,kontenerowa stacjonarna,LUBUSKIE,Gorzów Wielkopolski,ul. Kosynierów Gdyńskich,52.738214,15.228667
398,LuGorzowWSSE_1,PL0272A,WSSE - Gorzów ul. Borowskiego,,2003-01-01,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Gorzów Wielkopolski,ul. Borowskiego 28,52.737222,15.232222
399,LuGorzowWSSE_5,PL0377A,WSSE - Gorzów ul. Mickiewicza,,1988-02-01,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Gorzów Wielkopolski,ul. Mickiewicza,52.739722,15.230000
400,LuGorzowWSSE_6,PL0378A,WSSE - Gorzów ul. Wróblewskiego,,2003-04-01,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Gorzów Wielkopolski,ul. Wróblewskiego,52.754722,15.241944
401,LuGorzPilsud,PL0492A,Gorzów Wlkp. ul. Piłsudskiego,LuGorzowWIOS_MAN,2010-01-08,,tło,miejski,wolnostojący pobornik pyłu,LUBUSKIE,Gorzów Wielkopolski,ul. Piłsudskiego,52.747044,15.246294
402,LuGubinAnderMOB,PL0782A,"Gubin, ul. Gen. W. Andersa",,2021-01-04,2021-12-31,tło,miejski,mobilna,LUBUSKIE,Gubin,ul. Generała Władysława Andersa,51.947935,14.724985
403,LuMiedzyrMOB,PL0818A,Międzyrzecz ul. Komisji Edukacji Narodowej,,2023-01-10,2023-12-31,tło,miejski,mobilna,LUBUSKIE,Międzyrzecz,ul. Komisji Edukacji Narodowej 1,52.443327,15.564809
404,LuMiedzyWSSE,PL0379A,WSSE - Międzyrzecz,,1992-01-01,2009-12-31,tło,miejski,w budynku,LUBUSKIE,Międzyrzecz,ul. Centrum 16,52.442778,15.581389
405,LuNowaSolKos,PL0783A,Nowa Sól,,2021-01-01,,tło,miejski,kontenerowa stacjonarna,LUBUSKIE,Nowa Sól,T. Kościuszki,51.809103,15.708042
406,LuNowaSolMOB,PL0752A,"Nowa Sól, ul. T. Kościuszki",,2018-12-05,2019-12-31,tło,miejski,mobilna,LUBUSKIE,Nowa Sól,T. Kościuszki 26,51.808662,15.708193
