Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
986,WmKetrWojPolMOB,PL0830A,"Kętrzyn, ul. Wojska Polskiego",,2023-01-01,2023-12-31,tło,miejski,mobilna,WARMIŃSKO-MAZURSKIE,Kętrzyn,Wojska Polskiego 9,54.081439,21.369823
987,WmKetrzWSSE_Pilsud,PL0460A,Ketrzyn-PSSE-Piłsudskiego,,2003-01-03,2009-12-31,tło,miejski,w budynku,WARMIŃSKO-MAZURSKIE,Kętrzyn,pl. Piłsudskiego,54.078333,21.371944
988,WmKorszeR,PL0655A,WIOŚ Korsze,,2014-09-04,2017-03-30,tło,miejski,wolnostojący pobornik pyłu,WARMIŃSKO-MAZURSKIE,Korsze,Reymonta 2,54.170325,21.135050
989,WmMragowWSSE_Krolew,,Mragowo-WSSE-Krolewiecka,,2003-01-03,2004-12-31,tło,miejski,w budynku,WARMIŃSKO-MAZURSKIE,Mrągowo,ul. Królewiecka 60b,53.874444,21.303611
990,WmMragParkow,PL0296A,WIOŚ Mrągowo ul. Parkowa,WmMragowWIOS_Parkowa,2005-08-01,2016-12-31,tło,miejski,kontenerowa stacjonarna,WARMIŃSKO-MAZURSKIE,Mrągowo,ul. Parkowa,53.866133,21.296122
991,WmNiTraugutt,PL0531A,"Nidzica, ul.Traugutta",WmNidzicaWIOS_Traugut,2009-03-27,,tło,miejski,wolnostojący pobornik pyłu,WARMIŃSKO-MAZURSKIE,Nidzica,ul. Traugutta,53.361112,20.422046
992,WmNMLDzialyn,PL0797A,"Nowe Miasto Lubawskie, ul. Działyńskich",,2021-04-01,,tło,miejski,wolnostojący pobornik pyłu,WARMIŃSKO-MAZURSKIE,Nowe Miasto Lubawskie,ul. Działyńskich 17,53.426812,19.592335
993,WmOlsPuszkin,PL0175A,"Olsztyn, ul. Puszkina",WmOlsztyWIOS_Puszkin,2004-06-01,,tło,miejski,kontenerowa stacjonarna,WARMIŃSKO-MAZURSKIE,Olsztyn,ul. Puszkina 16,53.789233,20.486075
994,WmOlsztyWSSE_Niepodl,PL0461A,Olsztyn - WSSE - Niepodległości,,2003-01-01,2009-12-31,tło,miejski,w budynku,WARMIŃSKO-MAZURSKIE,Olsztyn,ul. Niepodległości,53.770833,20.490000
995,WmOlsztyWSSE_Zolnier,PL0297A,Olsztyn - WSEE Żołnierska,,2003-01-01,2009-12-31,tło,miejski,w budynku,WARMIŃSKO-MAZURSKIE,Olsztyn,ul. Żołnierska,53.770833,20.490000
